user_id,user_gender,age_group,location,interests
a2474,Female,18-24,New Mariomouth,"fitness, health"
141e5,Male,18-24,Danielsfort,"food, fitness, lifestyle"
34db0,Male,25-34,Vincentchester,"fashion, news"
20d08,Female,25-34,Lisaport,"health, news, finance"
9e830,Male,25-34,Brownmouth,"health, photography, lifestyle"
cea78,Male,25-34,North Chad,fitness
8416b,Male,18-24,Gallagherbury,"health, technology, news"
53afb,Male,25-34,Chambersport,travel
e3f22,Male,25-34,West Phillip,fashion
01820,Female,25-34,West Carla,"gaming, lifestyle"
73f8a,Male,18-24,Justinview,"news, health"
a4089,Male,35-44,Wardmouth,food
b759f,Male,35-44,Edwardsmouth,fashion
b11c1,Female,25-34,New Steven,health
90619,Female,18-24,Lake Courtneyfort,finance
7332b,Female,18-24,East Sierrafort,"news, lifestyle, travel"
72304,Other,18-24,South Ryanmouth,"photography, sports"
7dfcf,Male,18-24,North Cindy,"news, travel"
44b7d,Male,18-24,Knightton,finance
e37ba,Other,18-24,East Adam,"lifestyle, news, art"
027c7,Female,25-34,Lake Cheryl,"photography, lifestyle"
d2628,Other,25-34,Port Elizabeth,"travel, gaming"
73e4a,Male,25-34,Peterchester,"gaming, health, photography"
b3c74,Female,25-34,Port Kristina,"lifestyle, art"
56b94,Male,25-34,East Austin,"fitness, photography"
f032e,Male,35-44,Port Christine,"sports, finance"
2ac33,Female,25-34,South Carlaborough,fitness
4ff04,Male,18-24,Brandiland,fitness
418c3,Female,35-44,East William,"food, fitness"
fb5e6,Male,18-24,West Brandonshire,"travel, technology"
f3538,Female,25-34,Leeside,"photography, travel, art"
79803,Male,35-44,East Karen,travel
62728,Male,25-34,South Michaelbury,art
882de,Male,18-24,Lake Monica,food
7204f,Male,25-34,Garciatown,finance
287ba,Male,18-24,Webbmouth,art
0e025,Female,45-54,Shawnhaven,"fashion, health, news"
6a960,Female,18-24,East Wanda,"fashion, gaming"
d915e,Female,18-24,Port Nancy,technology
d8071,Male,16-17,Danielview,"lifestyle, health, finance"
1a4dd,Male,25-34,Kingside,"art, news"
f6fe8,Male,16-17,Collierfurt,"fashion, sports, fitness"
357ea,Male,25-34,Weaverfurt,"travel, technology, news"
0ff2f,Female,25-34,Walterberg,photography
816a3,Male,18-24,South Lynn,"sports, technology"
d209e,Male,18-24,East Brett,"health, sports"
b708c,Male,35-44,West Jasonmouth,"photography, sports"
57796,Male,18-24,Hodgesstad,"art, sports, food"
64a7b,Male,35-44,Port Wandaville,"travel, technology"
16e2b,Male,25-34,Port Rhonda,"health, finance, travel"
5e657,Male,35-44,North Denise,"health, fitness, fashion"
31a47,Male,18-24,Port Derek,"food, finance, fashion"
81518,Female,18-24,Stacymouth,fitness
d684a,Male,25-34,New Deborah,health
1592c,Male,18-24,West Carrie,"finance, travel"
ffa49,Female,25-34,West Keith,"fitness, art"
d5179,Female,25-34,New Leemouth,fitness
3aadb,Male,45-54,Matthewborough,"finance, news, sports"
9e8a6,Male,16-17,Port Kristin,news
569f4,Female,25-34,Frostton,gaming
193ff,Other,18-24,Port Ryan,"fashion, finance"
f7ed0,Male,25-34,North Henry,"lifestyle, fitness"
10624,Female,16-17,Gregport,"travel, gaming"
6dbad,Female,25-34,Davischester,"fitness, travel, gaming"
db310,Male,55-65,Lake Joseph,fitness
722ab,Female,25-34,West Anthonytown,"art, fitness"
4515c,Female,35-44,Lake Matthew,"gaming, sports, food"
02d20,Other,18-24,Josephland,"lifestyle, art"
f8d8a,Male,16-17,Lake Jason,"travel, fitness"
3e340,Female,18-24,Stephenland,"finance, news, food"
25864,Male,18-24,Ashleyshire,food
cf12b,Female,45-54,Port Margaret,health
2cff5,Female,16-17,East Jessicamouth,"travel, fitness, technology"
6ff56,Female,25-34,Christopherfort,"photography, finance"
cbbe0,Male,25-34,New Williambury,technology
47df7,Male,25-34,North Nathanielburgh,"sports, fitness, technology"
bc806,Male,35-44,Torresfurt,"technology, fashion"
10984,Male,16-17,Lake Kylie,"lifestyle, travel"
4a929,Male,18-24,West David,"sports, travel, technology"
76046,Other,25-34,Port Katie,"art, health"
f78e5,Male,18-24,Lake David,"finance, sports, travel"
850d4,Female,25-34,West Lorimouth,"fitness, health, food"
84ef1,Male,18-24,Maryton,"health, fitness"
fcaae,Male,35-44,Port Cassandra,lifestyle
fba51,Female,25-34,Farrellton,"photography, fashion"
7b9cd,Male,18-24,South Kyle,"photography, food"
65dda,Male,25-34,East Heather,food
cdd16,Female,25-34,Tinafort,"fashion, lifestyle"
9111f,Male,18-24,Port Williefurt,finance
d74af,Male,18-24,Lake Chris,fitness
9a803,Male,18-24,Lucasview,"finance, art, sports"
012d4,Male,18-24,Johnside,"travel, finance"
2190e,Female,16-17,North Michelle,"photography, lifestyle, fitness"
099e3,Male,25-34,Juliamouth,"technology, food"
16ed8,Male,18-24,South Victor,"travel, sports"
6aff1,Female,18-24,Normanland,"finance, technology"
03571,Female,16-17,Wilsonborough,sports
987e3,Female,25-34,South Charlesport,travel
856bc,Female,16-17,East Sarahfort,sports
88782,Male,18-24,Jennychester,"finance, news"
cddd8,Female,25-34,Kathleenmouth,"gaming, technology"
42d9b,Male,35-44,North Latoyafort,news
40790,Male,35-44,South Heiditon,lifestyle
94345,Female,18-24,Michellehaven,finance
53339,Female,18-24,Matthewmouth,"photography, gaming, food"
f2562,Female,25-34,Shepherdborough,travel
b7c20,Male,18-24,South Bryanville,travel
4ecc6,Male,25-34,Jaredburgh,"fashion, technology, fitness"
3114c,Female,45-54,Port Maurice,"finance, news, food"
131c1,Male,25-34,Port Jodi,"health, fashion, lifestyle"
233fa,Male,25-34,Port Amyshire,lifestyle
48737,Female,18-24,Port Tanner,lifestyle
ea34a,Female,25-34,Williamsfurt,health
c2a9b,Male,18-24,Brendaland,"lifestyle, fitness"
7659f,Female,25-34,North Sharonport,"sports, news, photography"
7ed8f,Male,25-34,East Andreahaven,"lifestyle, photography"
cc971,Male,18-24,East Jimmyton,"technology, food"
54507,Male,25-34,Bishopmouth,gaming
