hello_user,user_age,location,interests,age_group_16-17,age_group_18-24,age_group_25-34,age_group_35-44,age_group_45-54,age_group_nan
a2474,576,New Mariomouth,"fitness, health",False,True,False,False,False,False
141e5,441,Danielsfort,"food, fitness, lifestyle",False,True,False,False,False,False
34db0,729,Vincentchester,"fashion, news",False,False,True,False,False,False
20d08,784,Lisaport,"health, news, finance",False,False,True,False,False,False
9e830,784,Brownmouth,"health, photography, lifestyle",False,False,True,False,False,False
cea78,1089,North Chad,fitness,False,False,True,False,False,False
8416b,484,Gallagherbury,"health, technology, news",False,True,False,False,False,False
53afb,961,Chambersport,travel,False,False,True,False,False,False
e3f22,625,West Phillip,fashion,False,False,True,False,False,False
01820,1024,West Carla,"gaming, lifestyle",False,False,True,False,False,False
73f8a,361,Justinview,"news, health",False,True,False,False,False,False
a4089,1225,Wardmouth,food,False,False,False,True,False,False
b759f,1225,Edwardsmouth,fashion,False,False,False,True,False,False
b11c1,729,New Steven,health,False,False,True,False,False,False
90619,576,Lake Courtneyfort,finance,False,True,False,False,False,False
7332b,400,East Sierrafort,"news, lifestyle, travel",False,True,False,False,False,False
72304,441,South Ryanmouth,"photography, sports",False,True,False,False,False,False
7dfcf,576,North Cindy,"news, travel",False,True,False,False,False,False
44b7d,529,Knightton,finance,False,True,False,False,False,False
e37ba,529,East Adam,"lifestyle, news, art",False,True,False,False,False,False
027c7,1156,Lake Cheryl,"photography, lifestyle",False,False,True,False,False,False
d2628,1089,Port Elizabeth,"travel, gaming",False,False,True,False,False,False
73e4a,900,Peterchester,"gaming, health, photography",False,False,True,False,False,False
b3c74,961,Port Kristina,"lifestyle, art",False,False,True,False,False,False
56b94,625,East Austin,"fitness, photography",False,False,True,False,False,False
f032e,1225,Port Christine,"sports, finance",False,False,False,True,False,False
2ac33,841,South Carlaborough,fitness,False,False,True,False,False,False
4ff04,400,Brandiland,fitness,False,True,False,False,False,False
418c3,1444,East William,"food, fitness",False,False,False,True,False,False
fb5e6,400,West Brandonshire,"travel, technology",False,True,False,False,False,False
f3538,961,Leeside,"photography, travel, art",False,False,True,False,False,False
79803,1369,East Karen,travel,False,False,False,True,False,False
62728,625,South Michaelbury,art,False,False,True,False,False,False
882de,529,Lake Monica,food,False,True,False,False,False,False
7204f,625,Garciatown,finance,False,False,True,False,False,False
287ba,324,Webbmouth,art,False,True,False,False,False,False
0e025,2025,Shawnhaven,"fashion, health, news",False,False,False,False,True,False
